index, memory location, data type, hex value, dec, voltage
[100], 0x001CC8, int, 0x07C8, 1992, 1.60447998046875
[101], 0x001CCA, int, 0x07F1, 2033, 1.63751220703125
[102], 0x001CCC, int, 0x083F, 2111, 1.70035400390625
[103], 0x001CCE, int, 0x085B, 2139, 1.72291259765625
[104], 0x001CD0, int, 0x087C, 2172, 1.74949951171875
[105], 0x001CD2, int, 0x0883, 2179, 1.75513916015625
[106], 0x001CD4, int, 0x087F, 2175, 1.75191650390625
[107], 0x001CD6, int, 0x083F, 2111, 1.70035400390625
[108], 0x001CD8, int, 0x080C, 2060, 1.65926513671875
[109], 0x001CDA, int, 0x07EC, 2028, 1.63348388671875
[110], 0x001CDC, int, 0x07AF, 1967, 1.58433837890625
[111], 0x001CDE, int, 0x078B, 1931, 1.55533447265625
[112], 0x001CE0, int, 0x0778, 1912, 1.54002685546875
[113], 0x001CE2, int, 0x0781, 1921, 1.54727783203125
[114], 0x001CE4, int, 0x079D, 1949, 1.56983642578125
[115], 0x001CE6, int, 0x07AF, 1967, 1.58433837890625
[116], 0x001CE8, int, 0x0818, 2072, 1.66893310546875
[117], 0x001CEA, int, 0x0833, 2099, 1.69068603515625
[118], 0x001CEC, int, 0x0877, 2167, 1.74547119140625
[119], 0x001CEE, int, 0x0886, 2182, 1.75755615234375
[120], 0x001CF0, int, 0x0889, 2185, 1.75997314453125
[121], 0x001CF2, int, 0x0871, 2161, 1.74063720703125
[122], 0x001CF4, int, 0x0851, 2129, 1.71485595703125
[123], 0x001CF6, int, 0x080B, 2059, 1.65845947265625
[124], 0x001CF8, int, 0x07D9, 2009, 1.61817626953125
[125], 0x001CFA, int, 0x07A7, 1959, 1.57789306640625
[126], 0x001CFC, int, 0x078B, 1931, 1.55533447265625
[127], 0x001CFE, int, 0x0775, 1909, 1.53760986328125
[128], 0x001D00, int, 0x07A0, 1952, 1.57225341796875
[129], 0x001D02, int, 0x07B7, 1975, 1.59078369140625
[130], 0x001D04, int, 0x080B, 2059, 1.65845947265625
[131], 0x001D06, int, 0x0814, 2068, 1.66571044921875
[132], 0x001D08, int, 0x0871, 2161, 1.74063720703125
[133], 0x001D0A, int, 0x087F, 2175, 1.75191650390625
[134], 0x001D0C, int, 0x08AB, 2219, 1.78736572265625
[135], 0x001D0E, int, 0x08A7, 2215, 1.78414306640625
[136], 0x001D10, int, 0x0880, 2176, 1.75272216796875
[137], 0x001D12, int, 0x0857, 2135, 1.71968994140625
[138], 0x001D14, int, 0x0817, 2071, 1.66812744140625
[139], 0x001D16, int, 0x07E2, 2018, 1.62542724609375
[140], 0x001D18, int, 0x07B0, 1968, 1.58514404296875
[141], 0x001D1A, int, 0x0790, 1936, 1.55936279296875
[142], 0x001D1C, int, 0x0789, 1929, 1.55372314453125
[143], 0x001D1E, int, 0x0787, 1927, 1.55211181640625
[144], 0x001D20, int, 0x07C1, 1985, 1.59884033203125
[145], 0x001D22, int, 0x07DF, 2015, 1.62301025390625
[146], 0x001D24, int, 0x082C, 2092, 1.68504638671875
