index, memory location, data type, hex value, dec, voltage
[103], 0x001CCE, int, 0x0213, 531, 0.15541992187499998
[104], 0x001CD0, int, 0x032A, 810, 0.237158203125
[105], 0x001CD2, int, 0x0488, 1160, 0.339697265625
[106], 0x001CD4, int, 0x0537, 1335, 0.390966796875
[107], 0x001CD6, int, 0x05E8, 1512, 0.442822265625
[108], 0x001CD8, int, 0x0608, 1544, 0.452197265625
[109], 0x001CDA, int, 0x059B, 1435, 0.420263671875
[110], 0x001CDC, int, 0x04F6, 1270, 0.371923828125
[111], 0x001CDE, int, 0x03B8, 952, 0.278759765625
[112], 0x001CE0, int, 0x02BE, 702, 0.205517578125
[113], 0x001CE2, int, 0x01A3, 419, 0.12260742187499998
[114], 0x001CE4, int, 0x00FB, 251, 0.07338867187499999
[115], 0x001CE6, int, 0x00C1, 193, 0.056396484375
[116], 0x001CE8, int, 0x00CA, 202, 0.059033203124999996
[117], 0x001CEA, int, 0x0137, 311, 0.09096679687499999
[118], 0x001CEC, int, 0x01F2, 498, 0.145751953125
[119], 0x001CEE, int, 0x032C, 812, 0.237744140625
[120], 0x001CF0, int, 0x0402, 1026, 0.30043945312500003
[121], 0x001CF2, int, 0x053B, 1339, 0.392138671875
[122], 0x001CF4, int, 0x05BC, 1468, 0.429931640625
[123], 0x001CF6, int, 0x0607, 1543, 0.451904296875
[124], 0x001CF8, int, 0x05EE, 1518, 0.444580078125
[125], 0x001CFA, int, 0x052F, 1327, 0.388623046875
[126], 0x001CFC, int, 0x0483, 1155, 0.338232421875
[127], 0x001CFE, int, 0x0321, 801, 0.23452148437499998
[128], 0x001D00, int, 0x0258, 600, 0.175634765625
[129], 0x001D02, int, 0x00EF, 239, 0.069873046875
[130], 0x001D04, int, 0x00CB, 203, 0.059326171875
[131], 0x001D06, int, 0x00A3, 163, 0.047607421875
[132], 0x001D08, int, 0x010B, 267, 0.07807617187499999
[133], 0x001D0A, int, 0x0194, 404, 0.11821289062499998
[134], 0x001D0C, int, 0x02B9, 697, 0.204052734375
[135], 0x001D0E, int, 0x03B5, 949, 0.277880859375
[136], 0x001D10, int, 0x0496, 1174, 0.343798828125
[137], 0x001D12, int, 0x0547, 1351, 0.39565429687500003
[138], 0x001D14, int, 0x05EB, 1515, 0.443701171875
[139], 0x001D16, int, 0x0607, 1543, 0.451904296875
[140], 0x001D18, int, 0x0587, 1415, 0.414404296875
[141], 0x001D1A, int, 0x04D6, 1238, 0.362548828125
[142], 0x001D1C, int, 0x0397, 919, 0.269091796875
[143], 0x001D1E, int, 0x02BD, 701, 0.20522460937499998
[144], 0x001D20, int, 0x01EF, 495, 0.144873046875
[145], 0x001D22, int, 0x00FA, 250, 0.073095703125
[146], 0x001D24, int, 0x00B4, 180, 0.052587890625
[147], 0x001D26, int, 0x00E2, 226, 0.06606445312499999
[148], 0x001D28, int, 0x014C, 332, 0.09711914062499999
[149], 0x001D2A, int, 0x026F, 623, 0.182373046875
[150], 0x001D2C, int, 0x0343, 835, 0.244482421875
[151], 0x001D2E, int, 0x042A, 1066, 0.31215820312500003
[152], 0x001D30, int, 0x0551, 1361, 0.39858398437500003
[153], 0x001D32, int, 0x05C7, 1479, 0.433154296875
[154], 0x001D34, int, 0x060E, 1550, 0.453955078125
[155], 0x001D36, int, 0x05BF, 1471, 0.43081054687500003
[156], 0x001D38, int, 0x0537, 1335, 0.390966796875
[157], 0x001D3A, int, 0x0471, 1137, 0.332958984375
[158], 0x001D3C, int, 0x0387, 903, 0.264404296875
[159], 0x001D3E, int, 0x0242, 578, 0.169189453125
[160], 0x001D40, int, 0x017F, 383, 0.11206054687499999
