index, memory location, data type, hex value, dec, voltage
[0], 0x001C00, int, 3693, 3693, 2.97491455078125
[1], 0x001C02, int, 3539, 3539, 2.85084228515625
[2], 0x001C04, int, 2693, 2693, 2.16925048828125
[3], 0x001C06, int, 1717, 1717, 1.38292236328125
[4], 0x001C08, int, 1256, 1256, 1.0115112304687501
[5], 0x001C0A, int, 0x064C, 1612, 1.29832763671875
[6], 0x001C0C, int, 2547, 2547, 2.05162353515625
[7], 0x001C0E, int, 3447, 3447, 2.7767211914062497
[8], 0x001C10, int, 3737, 3737, 3.0103637695312497
[9], 0x001C12, int, 0x0C5F, 3167, 2.5511352539062497
[10], 0x001C14, int, 0x087B, 2171, 1.74869384765625
[11], 0x001C16, int, 0x0562, 1378, 1.10980224609375
[12], 0x001C18, int, 0x052F, 1327, 1.06871337890625
[13], 0x001C1A, int, 0x07F6, 2038, 1.64154052734375
[14], 0x001C1C, int, 0x0BE9, 3049, 2.45606689453125
[15], 0x001C1E, int, 0x0E6E, 3694, 2.97572021484375
[16], 0x001C20, int, 0x0DCB, 3531, 2.84439697265625
[17], 0x001C22, int, 0x0A87, 2695, 2.17086181640625
[18], 0x001C24, int, 0x06AF, 1711, 1.37808837890625
[19], 0x001C26, int, 0x04E6, 1254, 1.00989990234375
[20], 0x001C28, int, 0x064B, 1611, 1.29752197265625
[21], 0x001C2A, int, 0x09FE, 2558, 2.06048583984375
[22], 0x001C2C, int, 0x0D93, 3475, 2.79927978515625
[23], 0x001C2E, int, 0x0E8E, 3726, 3.00150146484375
[24], 0x001C30, int, 0x0C68, 3176, 2.55838623046875
[25], 0x001C32, int, 0x0878, 2168, 1.74627685546875
[26], 0x001C34, int, 0x056E, 1390, 1.11947021484375
[27], 0x001C36, int, 0x053C, 1340, 1.07918701171875
[28], 0x001C38, int, 0x07FE, 2046, 1.64798583984375
[29], 0x001C3A, int, 0x0BF8, 3064, 2.46815185546875
[30], 0x001C3C, int, 0x0E76, 3702, 2.9821655273437497
[31], 0x001C3E, int, 0x0DCC, 3532, 2.8452026367187497
[32], 0x001C40, int, 0x0A76, 2678, 2.15716552734375
[33], 0x001C42, int, 0x06A7, 1703, 1.37164306640625
[34], 0x001C44, int, 0x04E5, 1253, 1.00909423828125
[35], 0x001C46, int, 0x063B, 1595, 1.28463134765625
[36], 0x001C48, int, 0x09FB, 2555, 2.05806884765625
[37], 0x001C4A, int, 0x0D87, 3463, 2.78961181640625
[38], 0x001C4C, int, 0x0E8E, 3726, 3.00150146484375
[39], 0x001C4E, int, 0x0C61, 3169, 2.55274658203125
[40], 0x001C50, int, 0x086F, 2159, 1.73902587890625
[41], 0x001C52, int, 0x0567, 1383, 1.11383056640625
[42], 0x001C54, int, 0x0534, 1332, 1.07274169921875
[43], 0x001C56, int, 0x07FE, 2046, 1.64798583984375
[44], 0x001C58, int, 0x0BEB, 3051, 2.45767822265625
[45], 0x001C5A, int, 0x0E73, 3699, 2.97974853515625
[46], 0x001C5C, int, 0x0DCD, 3533, 2.84600830078125
[47], 0x001C5E, int, 0x0A77, 2679, 2.15797119140625
[48], 0x001C60, int, 0x06A4, 1700, 1.36922607421875
[49], 0x001C62, int, 0x04EB, 1259, 1.01392822265625
[50], 0x001C64, int, 0x0653, 1619, 1.30396728515625
[51], 0x001C66, int, 0x09FF, 2559, 2.06129150390625
[52], 0x001C68, int, 0x0D88, 3464, 2.79041748046875
[53], 0x001C6A, int, 0x0E87, 3719, 2.99586181640625
[54], 0x001C6C, int, 0x0C5D, 3165, 2.54952392578125
[55], 0x001C6E, int, 0x0877, 2167, 1.74547119140625
[56], 0x001C70, int, 0x056B, 1387, 1.11705322265625
[57], 0x001C72, int, 0x0536, 1334, 1.07435302734375
[58], 0x001C74, int, 0x080B, 2059, 1.65845947265625
[59], 0x001C76, int, 0x0BFE, 3070, 2.47298583984375
[60], 0x001C78, int, 0x0E7B, 3707, 2.9861938476562497
[61], 0x001C7A, int, 0x0DD3, 3539, 2.85084228515625
[62], 0x001C7C, int, 0x0A6C, 2668, 2.14910888671875
[63], 0x001C7E, int, 0x06A6, 1702, 1.37083740234375
[64], 0x001C80, int, 0x04D7, 1239, 0.9978149414062499
[65], 0x001C82, int, 0x0652, 1618, 1.30316162109375
[66], 0x001C84, int, 0x0A07, 2567, 2.06773681640625
[67], 0x001C86, int, 0x0D7D, 3453, 2.78155517578125
[68], 0x001C88, int, 0x0E87, 3719, 2.99586181640625
[69], 0x001C8A, int, 0x0C5E, 3166, 2.55032958984375
[70], 0x001C8C, int, 0x0863, 2147, 1.72935791015625
[71], 0x001C8E, int, 0x055C, 1372, 1.10496826171875
[72], 0x001C90, int, 0x053A, 1338, 1.07757568359375
[73], 0x001C92, int, 0x0809, 2057, 1.65684814453125
[74], 0x001C94, int, 0x0BFF, 3071, 2.47379150390625
[75], 0x001C96, int, 0x0E74, 3700, 2.98055419921875
[76], 0x001C98, int, 0x0DC7, 3527, 2.8411743164062497
[77], 0x001C9A, int, 0x0A6D, 2669, 2.14991455078125
[78], 0x001C9C, int, 0x069E, 1694, 1.36439208984375
[79], 0x001C9E, int, 0x04DD, 1245, 1.00264892578125
[80], 0x001CA0, int, 0x065E, 1630, 1.31282958984375
[81], 0x001CA2, int, 0x0A09, 2569, 2.06934814453125
[82], 0x001CA4, int, 0x0D96, 3478, 2.80169677734375
[83], 0x001CA6, int, 0x0E8C, 3724, 2.99989013671875
[84], 0x001CA8, int, 0x0C56, 3158, 2.54388427734375
[85], 0x001CAA, int, 0x086C, 2156, 1.73660888671875
[86], 0x001CAC, int, 0x055F, 1375, 1.10738525390625
[87], 0x001CAE, int, 0x0537, 1335, 1.07515869140625
[88], 0x001CB0, int, 0x080C, 2060, 1.65926513671875
[89], 0x001CB2, int, 0x0C08, 3080, 2.48104248046875
[90], 0x001CB4, int, 0x0E74, 3700, 2.98055419921875
[91], 0x001CB6, int, 0x0DC7, 3527, 2.8411743164062497
[92], 0x001CB8, int, 0x0A5D, 2653, 2.13702392578125
[93], 0x001CBA, int, 0x0698, 1688, 1.35955810546875
[94], 0x001CBC, int, 0x04D4, 1236, 0.9953979492187499
[95], 0x001CBE, int, 0x0657, 1623, 1.30718994140625
[96], 0x001CC0, int, 0x0A0F, 2575, 2.07418212890625
[97], 0x001CC2, int, 0x0D97, 3479, 2.80250244140625
[98], 0x001CC4, int, 0x0E8D, 3725, 3.00069580078125
[99], 0x001CC6, int, 0x0C51, 3153, 2.53985595703125
[100], 0x001CC8, int, 0x085D, 2141, 1.72452392578125
[101], 0x001CCA, int, 0x0557, 1367, 1.10093994140625
[102], 0x001CCC, int, 0x0533, 1331, 1.0719360351562501
[103], 0x001CCE, int, 0x0813, 2067, 1.66490478515625
[104], 0x001CD0, int, 0x0C03, 3075, 2.47701416015625
[105], 0x001CD2, int, 0x0E76, 3702, 2.9821655273437497
[106], 0x001CD4, int, 0x0DCC, 3532, 2.8452026367187497
[107], 0x001CD6, int, 0x0A67, 2663, 2.14508056640625
[108], 0x001CD8, int, 0x0698, 1688, 1.35955810546875
[109], 0x001CDA, int, 0x04F6, 1270, 1.02279052734375
[110], 0x001CDC, int, 0x065B, 1627, 1.31041259765625
[111], 0x001CDE, int, 0x0A0D, 2573, 2.07257080078125
[112], 0x001CE0, int, 0x0D97, 3479, 2.80250244140625
